"Group","ID","Effect"
"District","0100005:AL",-0.910118977546147
"District","0100006:AL",0.212605501109221
"District","0100007:AL",-1.99401587514394
"District","0100008:AL",0.661757722607196
"District","0100009:AL",-0.0423290669243797
"District","0100011:AL",0.339556844988813
"District","0100012:AL",-0.602441327960577
"District","0100013:AL",0.285175936645844
"District","0100030:AL",0.985420685063821
"District","0100060:AL",-0.470603779171749
"District","0100090:AL",0.268291491991945
"District","0100100:AL",-0.435177449250686
"District","0100120:AL",0.138182997541267
"District","0100180:AL",-0.269280511531301
"District","0100185:AL",0.0445979674772886
"District","0100188:AL",-0.413486534597313
"District","0100189:AL",-0.827056665419108
"District","0100190:AL",-0.566427339063584
"District","0100194:AL",-0.233546153920459
"District","0100195:AL",0.521485594804914
"District","0100197:AL",-0.692070695304017
"District","0100199:AL",0.580842904540139
"District","0100202:AL",-0.0508394411454371
"District","0100210:AL",-0.0466745069619199
"District","0100211:AL",-0.309986392949179
"District","0100240:AL",0.0773464889806504
"District","0100270:AL",-1.67397986752035
"District","0100300:AL",-0.588157054769062
"District","0100330:AL",-0.01952626166101
"District","0100360:AL",1.24567548028628
"District","0100390:AL",0.306852742584906
"District","0100420:AL",-1.22251530961234
"District","0100450:AL",0.671669603644287
"District","0100480:AL",-0.045452291434578
"District","0100510:AL",-0.995653907373516
"District","0100540:AL",0.0717588998793165
"District","0100600:AL",-0.483950222770844
"District","0100630:AL",-0.721632672292481
"District","0100660:AL",0.887123776146093
"District","0100690:AL",0.662001519494001
"District","0100720:AL",-0.146899909543341
"District","0100750:AL",-0.491046440503617
"District","0100780:AL",-0.746160098542482
"District","0100810:AL",-0.555151632530431
"District","0100840:AL",0.570687024669151
"District","0100870:AL",-0.906300225641659
"District","0100900:AL",0.497471388765592
"District","0100930:AL",-1.34656664214396
"District","0100960:AL",-1.0573487158512
"District","0100990:AL",-0.182161616673614
"District","0101020:AL",-0.26191733740154
"District","0101050:AL",-1.3277013287308
"District","0101080:AL",0.245891265157863
"District","0101110:AL",0.982698454332821
"District","0101140:AL",0.671527430513252
"District","0101170:AL",0.120841414641695
"District","0101200:AL",0.169187038551277
"District","0101230:AL",0.473309305451031
"District","0101260:AL",-0.126430130015471
"District","0101290:AL",-0.114709608315551
"District","0101320:AL",0.381728663141382
"District","0101350:AL",-0.775244922100014
"District","0101380:AL",-0.108724333304515
"District","0101410:AL",0.199961769143396
"District","0101440:AL",-0.0094770405197006
"District","0101470:AL",0.56567758620907
"District","0101530:AL",0.432725450202358
"District","0101560:AL",0.0185208796004636
"District","0101590:AL",0.461330214853425
"District","0101620:AL",-0.67551549773593
"District","0101640:AL",-0.169406216489023
"District","0101660:AL",0.815771059190466
"District","0101680:AL",-0.275954374332369
"District","0101690:AL",-0.334018449572303
"District","0101710:AL",0.927700759008844
"District","0101720:AL",-0.256443039877088
"District","0101730:AL",0.445604705503993
"District","0101740:AL",-1.27948266880776
"District","0101760:AL",-0.151812854288669
"District","0101770:AL",-0.864083381641412
"District","0101800:AL",1.23366332975459
"District","0101830:AL",-0.012343135958095
"District","0101860:AL",-0.286878217446637
"District","0101890:AL",-0.235378896361204
"District","0101920:AL",0.44108631461828
"District","0101950:AL",0.767759028014414
"District","0101980:AL",0.0497126667522762
"District","0102010:AL",-0.289500121129842
"District","0102040:AL",-0.549747611185825
"District","0102070:AL",0.0881004496175693
"District","0102100:AL",0.727693752272458
"District","0102130:AL",-0.232013383797414
"District","0102160:AL",0.65050108360208
